amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,BalanceDiff
330218.42,20866.0,351084.42,452419.57,122201.15,0,330218.42000000004
11647.08,30370.0,18722.92,0.0,0.0,0,0.0
152264.21,106589.0,258853.21,201303.01,49038.8,0,152264.21000000002
1551760.63,0.0,0.0,3198359.45,4750120.08,0,-1551760.63
78172.3,2921331.58,2999503.88,415821.9,337649.6,0,78172.30000000005
915.13,0.0,0.0,0.0,0.0,0,0.0
20603.87,0.0,0.0,558068.66,578672.53,0,-20603.869999999995
58605.72,0.0,0.0,585494.94,644100.66,0,-58605.72000000009
4865.11,0.0,0.0,0.0,0.0,0,0.0
118131.63,0.0,0.0,8131691.35,8476246.86,0,-344555.5099999998
141100.88,80506.0,0.0,89384.09,230484.96,0,-141100.87
384177.48,40348.0,0.0,0.0,384177.48,0,-384177.48
153486.36,20476.0,0.0,85173.16,238659.53,0,-153486.37
51042.59,184.0,0.0,380143.14,431185.74,0,-51042.59999999998
48691.16,0.0,0.0,0.0,0.0,0,0.0
36598.65,8240.66,0.0,0.0,0.0,0,0.0
124443.29,14236.0,0.0,0.0,124443.29,0,-124443.29
510190.97,57590.0,0.0,115914.88,626105.86,0,-510190.98
940927.27,8568.0,0.0,0.0,940927.27,0,-940927.27
240156.34,0.0,0.0,2811902.28,3052058.62,0,-240156.34000000032
44360.26,0.0,0.0,282664.52,327024.78,0,-44360.26000000001
338458.24,30283.0,0.0,1055729.15,1564103.49,0,-508374.3400000001
311748.24,4279.0,316027.24,27843.39,0.0,0,27843.39
151.58,10659.0,10507.42,50706.33,50857.9,0,-151.5699999999997
26565.95,0.0,0.0,0.0,0.0,0,0.0
6.57,0.0,0.0,2909681.35,2909687.93,0,-6.580000000074506
23898.77,50271.0,74169.77,205872.37,181973.6,0,23898.76999999999
26360.78,365.0,0.0,202458.96,244056.68,0,-41597.72
192935.2,51937.0,244872.2,171874.85,0.0,0,171874.85
18801.43,126.0,0.0,0.0,18801.43,0,-18801.43
3516.08,0.0,0.0,0.0,0.0,0,0.0
6987.8,0.0,0.0,0.0,0.0,0,0.0
8808.73,50485.0,59293.73,177448.43,168639.7,0,8808.729999999981
24649.07,0.0,0.0,0.0,0.0,0,0.0
97562.73,5396.0,0.0,2455585.33,2553148.05,0,-97562.71999999974
598680.17,45059.0,0.0,2559233.0,3157913.17,0,-598680.1699999999
218659.82,1005.0,0.0,16320325.66,16592681.56,0,-272355.9000000004
304408.97,4276845.77,4581254.74,1443186.93,1314479.93,0,128707.0
5090.28,50617.0,45526.72,0.0,0.0,0,0.0
176016.04,0.0,0.0,12916654.7,13005481.5,0,-88826.80000000075
11605.7,0.0,0.0,0.0,0.0,0,0.0
234850.43,669990.79,904841.22,298639.42,49936.17,0,248703.25
186549.79,0.0,0.0,242473.16,429022.95,0,-186549.79
79042.15,6064.0,0.0,410360.71,489402.86,0,-79042.14999999997
5055.72,108809.83,103754.11,0.0,0.0,0,0.0
12020.77,639020.83,627000.06,0.0,0.0,0,0.0
123326.84,5477362.0,5600688.84,3470716.16,3347389.32,0,123326.84000000032
14241.21,109207.0,94965.79,0.0,0.0,0,0.0
23480.16,5309.0,0.0,0.0,0.0,0,0.0
195205.19,1961856.75,2157061.94,1150566.93,955361.74,0,195205.18999999994
145319.54,8056.0,0.0,696100.99,841420.53,0,-145319.54000000004
14270.03,3309.0,0.0,0.0,0.0,0,0.0
6851.17,0.0,0.0,0.0,0.0,0,0.0
296959.67,10609.0,307568.67,0.0,0.0,0,0.0
166630.9,10944.0,177574.9,240525.0,73894.11,0,166630.89
165135.41,187326.54,352461.95,190273.97,25138.56,0,165135.41
1704.03,0.0,0.0,0.0,0.0,0,0.0
390903.09,7947520.93,8338424.03,707650.38,316747.29,0,390903.09
21061.24,0.0,0.0,0.0,0.0,0,0.0
8129.46,0.0,0.0,0.0,0.0,0,0.0
6492.32,252978.2,246485.88,0.0,0.0,0,0.0
16242.22,0.0,0.0,1401840.75,1418082.97,0,-16242.219999999972
286864.49,0.0,0.0,598674.63,885539.12,0,-286864.49
147351.57,6185044.14,6332395.71,7292368.53,7145016.96,0,147351.5700000003
21362.19,0.0,0.0,102800.19,124162.37,0,-21362.179999999993
16871.75,374693.53,357821.78,0.0,0.0,0,0.0
88826.43,249733.0,160906.57,963113.59,1051940.02,0,-88826.43000000005
38509.2,0.0,0.0,0.0,0.0,0,0.0
7301.4,21426.0,14124.6,0.0,0.0,0,0.0
51907.16,48529.0,0.0,0.0,0.0,0,0.0
343.06,0.0,0.0,0.0,0.0,0,0.0
24413.46,5088.0,0.0,0.0,24413.46,0,-24413.46
125568.72,55360.0,0.0,0.0,125568.72,0,-125568.72
203321.66,7707.02,0.0,223460.41,426782.08,0,-203321.67
7452.27,254793.0,247340.73,0.0,0.0,0,0.0
117253.94,1527903.53,1645157.47,309923.06,192669.12,0,117253.94
16500.28,0.0,0.0,1039511.46,1056011.74,0,-16500.280000000028
25380.11,0.0,0.0,0.0,0.0,0,0.0
95623.45,95785.0,161.55,0.0,95623.45,0,-95623.45
122899.15,6017.0,128916.15,227088.65,104189.5,0,122899.15
